id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Desert Wind,Sandwave,ambient,chill,0.22,55,0.58,0.33,0.95
12,Electric Avenue,Voltline,rock,intense,0.88,145,0.52,0.71,0.08
13,Rainy Bookshop,Paper Lanterns,jazz,relaxed,0.31,85,0.74,0.48,0.91
14,Neon Jungle,Neon Echo,synthwave,moody,0.80,120,0.44,0.85,0.14
15,Morning Stretch,Slow Stereo,lofi,chill,0.38,74,0.66,0.55,0.80
16,Peak Performance,Max Pulse,pop,intense,0.95,140,0.80,0.91,0.03
17,Velvet Underground,Orbit Bloom,indie pop,relaxed,0.55,100,0.76,0.63,0.52
18,Thunderclap,Voltline,rock,intense,0.94,160,0.40,0.68,0.06
19,Candlelight Study,LoRoom,lofi,focused,0.36,76,0.62,0.57,0.83
20,Summer Parade,Indigo Parade,pop,happy,0.85,128,0.90,0.88,0.20
